Id,Label,timeset,componentnumber,strongcompnum
8322,8322,,0,8
187,187,,0,8
252,252,,0,8
462,462,,0,8
497,497,,0,8
627,627,,0,8
663,663,,0,8
976,976,,0,8
1217,1217,,0,8
1569,1569,,0,8
1835,1835,,0,8
1921,1921,,0,8
1989,1989,,0,8
2045,2045,,0,8
2065,2065,,0,8
2412,2412,,0,8
2531,2531,,0,8
2750,2750,,0,8
3706,3706,,0,8
3830,3830,,0,8
3953,3953,,0,8
4394,4394,,0,8
4557,4557,,0,8
4793,4793,,0,8
4829,4829,,0,8
5079,5079,,0,8
5753,5753,,0,8
5860,5860,,0,8
5882,5882,,0,8
5913,5913,,0,8
6050,6050,,0,8
6274,6274,,0,8
6512,6512,,0,8
6572,6572,,0,8
7379,7379,,0,8
7683,7683,,0,8
7869,7869,,0,8
8139,8139,,0,8
8271,8271,,0,8
8507,8507,,0,8
8523,8523,,0,8
8551,8551,,0,8
9082,9082,,0,8
9298,9298,,0,8
9528,9528,,0,8
9598,9598,,0,8
9794,9794,,0,8
2083,2083,,1,14
102,102,,1,14
224,224,,1,14
253,253,,1,14
458,458,,1,14
957,957,,1,14
1106,1106,,1,14
1290,1290,,1,14
1367,1367,,1,14
1681,1681,,1,14
2610,2610,,1,14
2874,2874,,1,14
3011,3011,,1,14
3092,3092,,1,14
3218,3218,,1,14
3261,3261,,1,14
3264,3264,,1,14
3368,3368,,1,14
3521,3521,,1,14
4231,4231,,1,14
4501,4501,,1,14
4519,4519,,1,14
4611,4611,,1,14
4654,4654,,1,14
4743,4743,,1,14
4873,4873,,1,14
4888,4888,,1,14
4949,4949,,1,14
5016,5016,,1,14
5355,5355,,1,14
5726,5726,,1,14
5738,5738,,1,14
5780,5780,,1,14
5806,5806,,1,14
6248,6248,,1,14
6319,6319,,1,14
6467,6467,,1,14
6643,6643,,1,14
6880,6880,,1,14
6939,6939,,1,14
7205,7205,,1,14
7365,7365,,1,14
7513,7513,,1,14
7712,7712,,1,14
7756,7756,,1,14
7808,7808,,1,14
7893,7893,,1,14
7907,7907,,1,14
8061,8061,,1,14
8198,8198,,1,14
8797,8797,,1,14
8874,8874,,1,14
9638,9638,,1,14
8217,8217,,2,18
108,108,,2,18
209,209,,2,18
692,692,,2,18
697,697,,2,18
716,716,,2,18
1162,1162,,2,18
1375,1375,,2,18
1394,1394,,2,18
1577,1577,,2,18
1797,1797,,2,18
1933,1933,,2,18
2101,2101,,2,18
2244,2244,,2,18
2672,2672,,2,18
3420,3420,,2,18
3703,3703,,2,18
3719,3719,,2,18
3782,3782,,2,18
4233,4233,,2,18
4278,4278,,2,18
4322,4322,,2,18
4663,4663,,2,18
4719,4719,,2,18
5133,5133,,2,18
5312,5312,,2,18
5998,5998,,2,18
6628,6628,,2,18
6716,6716,,2,18
6960,6960,,2,18
7062,7062,,2,18
7284,7284,,2,18
7473,7473,,2,18
7609,7609,,2,18
7743,7743,,2,18
8023,8023,,2,18
8114,8114,,2,18
8200,8200,,2,18
8737,8737,,2,18
8794,8794,,2,18
8857,8857,,2,18
9061,9061,,2,18
9067,9067,,2,18
9155,9155,,2,18
9395,9395,,2,18
9537,9537,,2,18
9553,9553,,2,18
9810,9810,,2,18
992,992,,3,26
638,638,,3,26
776,776,,3,26
853,853,,3,26
1077,1077,,3,26
1087,1087,,3,26
1262,1262,,3,26
1378,1378,,3,26
1421,1421,,3,26
1857,1857,,3,26
2070,2070,,3,26
2081,2081,,3,26
2213,2213,,3,26
2625,2625,,3,26
2768,2768,,3,26
2821,2821,,3,26
2956,2956,,3,26
3082,3082,,3,26
3402,3402,,3,26
3828,3828,,3,26
4029,4029,,3,26
4220,4220,,3,26
4532,4532,,3,26
4576,4576,,3,26
4789,4789,,3,26
4837,4837,,3,26
5174,5174,,3,26
5456,5456,,3,26
5540,5540,,3,26
5766,5766,,3,26
5902,5902,,3,26
6035,6035,,3,26
6140,6140,,3,26
6227,6227,,3,26
6527,6527,,3,26
6806,6806,,3,26
6832,6832,,3,26
6903,6903,,3,26
7866,7866,,3,26
8230,8230,,3,26
8786,8786,,3,26
9389,9389,,3,26
9817,9817,,3,26
9836,9836,,3,26
9964,9964,,3,26
9967,9967,,3,26
7708,7708,,4,36
49,49,,4,36
356,356,,4,36
616,616,,4,36
655,655,,4,36
739,739,,4,36
849,849,,4,36
1050,1050,,4,36
1148,1148,,4,36
1689,1689,,4,36
1803,1803,,4,36
1920,1920,,4,36
2110,2110,,4,36
2538,2538,,4,36
2713,2713,,4,36
3135,3135,,4,36
3200,3200,,4,36
3211,3211,,4,36
3232,3232,,4,36
3285,3285,,4,36
3616,3616,,4,36
3664,3664,,4,36
4004,4004,,4,36
4177,4177,,4,36
4405,4405,,4,36
4932,4932,,4,36
4933,4933,,4,36
5196,5196,,4,36
5200,5200,,4,36
5422,5422,,4,36
5784,5784,,4,36
5908,5908,,4,36
5948,5948,,4,36
6157,6157,,4,36
6673,6673,,4,36
6675,6675,,4,36
6683,6683,,4,36
7277,7277,,4,36
7504,7504,,4,36
7543,7543,,4,36
7785,7785,,4,36
7834,7834,,4,36
7973,7973,,4,36
8207,8207,,4,36
8259,8259,,4,36
8274,8274,,4,36
8587,8587,,4,36
8819,8819,,4,36
8896,8896,,4,36
9194,9194,,4,36
9495,9495,,4,36
9543,9543,,4,36
4450,4450,,5,44
181,181,,5,44
571,571,,5,44
675,675,,5,44
1064,1064,,5,44
1081,1081,,5,44
1104,1104,,5,44
1216,1216,,5,44
1312,1312,,5,44
1359,1359,,5,44
1677,1677,,5,44
1710,1710,,5,44
1759,1759,,5,44
2212,2212,,5,44
2522,2522,,5,44
2631,2631,,5,44
2976,2976,,5,44
3215,3215,,5,44
3627,3627,,5,44
3681,3681,,5,44
3753,3753,,5,44
3804,3804,,5,44
3929,3929,,5,44
4119,4119,,5,44
4911,4911,,5,44
5352,5352,,5,44
5420,5420,,5,44
5428,5428,,5,44
5451,5451,,5,44
5678,5678,,5,44
5705,5705,,5,44
5710,5710,,5,44
6139,6139,,5,44
6179,6179,,5,44
6517,6517,,5,44
6815,6815,,5,44
7251,7251,,5,44
7444,7444,,5,44
8531,8531,,5,44
8689,8689,,5,44
9640,9640,,5,44
9771,9771,,5,44
9961,9961,,5,44
2665,2665,,6,51
94,94,,6,51
351,351,,6,51
406,406,,6,51
826,826,,6,51
974,974,,6,51
1146,1146,,6,51
1234,1234,,6,51
1266,1266,,6,51
1808,1808,,6,51
1978,1978,,6,51
1996,1996,,6,51
2080,2080,,6,51
2190,2190,,6,51
2243,2243,,6,51
2330,2330,,6,51
2333,2333,,6,51
2376,2376,,6,51
2559,2559,,6,51
2747,2747,,6,51
3244,3244,,6,51
3493,3493,,6,51
3504,3504,,6,51
4028,4028,,6,51
4037,4037,,6,51
4307,4307,,6,51
4475,4475,,6,51
4597,4597,,6,51
4671,4671,,6,51
4894,4894,,6,51
4941,4941,,6,51
5486,5486,,6,51
5607,5607,,6,51
5822,5822,,6,51
6311,6311,,6,51
6351,6351,,6,51
6401,6401,,6,51
6721,6721,,6,51
6768,6768,,6,51
6854,6854,,6,51
7053,7053,,6,51
7285,7285,,6,51
7616,7616,,6,51
8239,8239,,6,51
8566,8566,,6,51
8745,8745,,6,51
9178,9178,,6,51
9292,9292,,6,51
9444,9444,,6,51
9503,9503,,6,51
9716,9716,,6,51
9822,9822,,6,51
3492,3492,,7,59
106,106,,7,59
165,165,,7,59
306,306,,7,59
330,330,,7,59
372,372,,7,59
650,650,,7,59
914,914,,7,59
1055,1055,,7,59
1115,1115,,7,59
1299,1299,,7,59
1887,1887,,7,59
1919,1919,,7,59
2008,2008,,7,59
2357,2357,,7,59
2740,2740,,7,59
2905,2905,,7,59
3265,3265,,7,59
3677,3677,,7,59
3698,3698,,7,59
3741,3741,,7,59
3817,3817,,7,59
3832,3832,,7,59
5096,5096,,7,59
5121,5121,,7,59
5172,5172,,7,59
5178,5178,,7,59
5662,5662,,7,59
5776,5776,,7,59
5885,5885,,7,59
5967,5967,,7,59
6334,6334,,7,59
6654,6654,,7,59
6749,6749,,7,59
7071,7071,,7,59
7086,7086,,7,59
7225,7225,,7,59
7391,7391,,7,59
7594,7594,,7,59
7648,7648,,7,59
8019,8019,,7,59
8123,8123,,7,59
8169,8169,,7,59
8223,8223,,7,59
8273,8273,,7,59
8508,8508,,7,59
8688,8688,,7,59
8813,8813,,7,59
9144,9144,,7,59
9208,9208,,7,59
9237,9237,,7,59
9330,9330,,7,59
9475,9475,,7,59
9707,9707,,7,59
9789,9789,,7,59
9834,9834,,7,59
9962,9962,,7,59
5162,5162,,4,35
203,203,,4,35
353,353,,4,35
438,438,,4,35
478,478,,4,35
786,786,,4,35
1067,1067,,4,35
1186,1186,,4,35
1276,1276,,4,35
1713,1713,,4,35
1932,1932,,4,35
1984,1984,,4,35
2233,2233,,4,35
2528,2528,,4,35
2839,2839,,4,35
2893,2893,,4,35
